16/03/2026	Flatwhite	Milk, Almond Unsweetened	150 mls - same as grams	150.0
16/03/2026	Yogurt Breakfast	Yogurt, Plain Nonfat	Just over a cup	200.0
16/03/2026	Yogurt Breakfast	Blueberries	About half a square container.	100.0
16/03/2026	Yogurt Breakfast	Steelcut Oats	One scoop - be exact!	30.0
16/03/2026	Yogurt Breakfast	Peanut Butter	Barely a teaspoon - measure!	10.0
16/03/2026	Protein Shake	Organic Whey Protein	Two measures	28.0
16/03/2026	Protein Shake	Blueberries	Weighed	73.5
16/03/2026	Protein Shake	Milk, Almond Unsweetened	Two cups	474.0
16/03/2026	Salmon with Peas	Salmon		197.5
16/03/2026	Salmon with Peas	Potatoe, Sweet		200.0
16/03/2026	Salmon with Peas	Olive oil	Small spoon	4.5
16/03/2026	Salmon with Peas	Peas		145.5
16/03/2026	Flatwhite	Milk, Almond Unsweetened	150 mls - same as grams	150.0
16/03/2026	Turkey, Ground Dinner	Turkey, Ground		142.5
16/03/2026	Turkey, Ground Dinner	Potatoe, Sweet		100.0
16/03/2026	Turkey, Ground Dinner	Broccoli		200.0
16/03/2026	Flatwhite	Milk, Almond Unsweetened	150 mls - same as grams	150.0
17/03/2026	Eggwhite Omellette	Eggwhite	From 4 eggs (bowl weighs 416.5g)	145.0
17/03/2026	Eggwhite Omellette	Mushrooms	A bowlful	226.0
17/03/2026	Eggwhite Omellette	Asparagus	About 8 	189.0
17/03/2026	Eggwhite Omellette	Olive oil	Spoon of olive oil	4.5
17/03/2026	Flatwhite	Milk, Almond Unsweetened	150 mls - same as grams	150.0
17/03/2026	Yogurt Breakfast	Yogurt, Plain Nonfat	Just over a cup	200.0
17/03/2026	Yogurt Breakfast	Blueberries	About one quarter a square container.	100.0
17/03/2026	Yogurt Breakfast	Steelcut Oats	5 and half level big spoons	30.0
17/03/2026	Yogurt Breakfast	Peanut Butter	Barely a teaspoon - measure!	10.5
17/03/2026	Flatwhite	Milk, Almond Unsweetened	150 mls - same as grams	150.0
17/03/2026	Salmon	Salmon		414.5
17/03/2026	Potatoe, Sweet	Potatoe, Sweet		200.0
17/03/2026	Potatoe, Sweet	Olive oil	Small spoon	4.5
17/03/2026	Cucumber Salad	Cucumber		160.0
17/03/2026	Cucumber Salad	Tomato		180.0
17/03/2026	Cucumber Salad	Olive oil	Small spoon	4.5
17/03/2026	Red Wine	Red Wine		125.0
18/03/2026	Flatwhite	Milk, Almond Unsweetened	150 mls - same as grams	100.0
18/03/2026	Yogurt Breakfast	Yogurt, Plain Nonfat	Just over a cup	207.0
