Food,Grams,Protein_g,Fat_g,Carbs_g,Calories_kcal
"Zucchini (1/3 of 195g batch)",65,1,0,2,11
"Corn (1/3 of 159g)",53,2,0,10,46
"Mushrooms (1/3 of 156g)",52,2,0,2,11
"Rice Jasberry (1/3 of 47g eaten first batch)",16,0,0,4,20
"Lime zest+juice (half of 141g, lunch veg w Eliot)",71,0,0,6,18
"Butter (1/3 of 11g)",4,0,3,0,29
"Burger (1.75 patties ~410 kcal each, net of Eliot 1/4)",,35,42,49,714
"Broccoli (1/3 lunch batch per notes)",62,2,0,4,21
"Beef soup (1/3 of Eliot row)",104,10,5,5,67
"White potatoes (1/3 of Eliot row)",59,1,0,12,53
"Grapes (15 x 10g)",150,0,0,24,103
"Red onion (1/3 of 58g)",19,0,0,2,8
"Egg yolk (1/3 of 42g)",14,2,4,1,45
"Egg white (1/3 of 118g)",39,4,0,0,20
"Salmon raw (half of Eliot 232g row)",116,23,15,0,180
"Tangerine zest+juice (half of 142g, lunch veg w Eliot)",71,0,0,8,31
Butter,7,0,6,0,50
Mushrooms,72,2,0,2,16
Red onion,79,1,0,7,32
"Burger patty (~410 kcal, same basis as Eliot 1/4 x4)",,20,24,28,410
Total,,105,99,166,1885
